species,latinFamily,subfamily,tribe_genus,genes,sex,ID,body.mass.g,head.weight.g,IT.mm,brain.fresh.mg,brain.fix.mg,no.optic.lobes.weight.mg,country
Bombus_pratorum,Apidae,Apinae,Bombini,yes,M,id_A6,0.0934,0.0112,3.714,NA,1.68,0.721,Spain
Bombus_pratorum,Apidae,Apinae,Bombini,yes,Q?,id_H82,NA,NA,4.44,NA,3.278,1.947,Netherlands
Bombus_pratorum,Apidae,Apinae,Bombini,yes,M,id_A18,0.1029,0.0115,3.604,NA,2.5,1.171,Spain
Bombus_pratorum,Apidae,Apinae,Bombini,yes,Q,id_H63,NA,NA,4.11,NA,3.626,2.109,Netherlands
Bombus_pratorum,Apidae,Apinae,Bombini,yes,M,id_A4,0.105,0.0119,3.714,NA,1.89,0.984,Spain
Bombus_pratorum,Apidae,Apinae,Bombini,yes,F,id_H83,NA,NA,3.28,NA,2.348,1.09,Netherlands
Bombus_pratorum,Apidae,Apinae,Bombini,yes,M,id_A9,0.0966,0.0112,3.829,NA,1.84,0.964,Spain
Bombus_pratorum,Apidae,Apinae,Bombini,yes,Q,id_H81,NA,NA,4.35,NA,3.121,1.848,Netherlands
Bombus_pratorum,Apidae,Apinae,Bombini,yes,F,id_A1,0.1186,0.01,3.635,NA,2.06,1.057,Spain
Bombus_pratorum,Apidae,Apinae,Bombini,yes,F,id_A20,0.1036,0.0107,3.576,NA,2.16,1.723,Spain
Bombus_pratorum,Apidae,Apinae,Bombini,yes,M,id_A29,0.1065,0.0129,3.853,NA,2.36,0.961,Spain
Bombus_terrestris,Apidae,Apinae,Bombini,yes,Q,id_H26,NA,NA,5.57,NA,5.564,3.777,Netherlands
Bombus_terrestris,Apidae,Apinae,Bombini,yes,F,id_A25,0.1981,0.0187,4.468,NA,2.75,1.613,Spain
Bombus_terrestris,Apidae,Apinae,Bombini,yes,F,id_B62,0.2288,0.022,4.5,NA,3.09,1.876,Spain
Bombus_terrestris,Apidae,Apinae,Bombini,yes,F,id_A7,0.1233,0.0149,4.032,NA,2.6,1.43,Spain
Bombus_terrestris,Apidae,Apinae,Bombini,yes,F,id_A19,0.1664,NA,4.126,NA,2.94,1.661,Spain
Bombus_terrestris,Apidae,Apinae,Bombini,yes,Q,id_H80,NA,NA,5.42,NA,4.678,2.122,Netherlands
Bombus_terrestris,Apidae,Apinae,Bombini,yes,F,id_B61,0.2779,0.0257,4.713,NA,3.59,1.809,Spain
Bombus_terrestris,Apidae,Apinae,Bombini,yes,F,id_A14,0.193,0.0221,4.68,NA,2.17,1.311,Spain
Bombus_terrestris,Apidae,Apinae,Bombini,yes,M,id_A31,0.1566,0.0166,4.641,NA,2.71,1.514,Spain
Bombus_terrestris,Apidae,Apinae,Bombini,yes,F,id_A8,0.1665,0.0182,4.299,NA,2.95,1.622,Spain
Bombus_terrestris,Apidae,Apinae,Bombini,yes,F,id_A3,0.1677,0.0136,4.289,NA,2.72,1.621,Spain
Bombus_terrestris,Apidae,Apinae,Bombini,yes,F,id_A22,0.1725,0.0171,4.45,NA,3.16,NA,Spain
Bombus_terrestris,Apidae,Apinae,Bombini,yes,Q,id_H58,NA,NA,5.5,NA,5.838,3.359,Netherlands
Bombus_terrestris,Apidae,Apinae,Bombini,yes,F,id_B72,0.1259,0.0126,3.95,NA,2.26,1.401,Spain
Bombus_vagans,Apidae,Apinae,Bombini,yes,F,id_151,0.2823,NA,4.657,2.6,NA,NA,USA
Bombus_vagans,Apidae,Apinae,Bombini,yes,F,id_165,0.1123,NA,4.75,2.6,NA,NA,USA
Bombus_vagans,Apidae,Apinae,Bombini,yes,F,id_148,0.1062,NA,4.68,2.5,NA,NA,USA
Bombus_vagans,Apidae,Apinae,Bombini,yes,M,US075,NA,NA,2.794,NA,1.179,NA,US_MA
Ceratina_calcarata,Apidae,Xylocopinae,Ceratini,yes,F,id_49,0.0115,NA,1.993,0.48,NA,NA,USA
Ceratina_calcarata,Apidae,Xylocopinae,Ceratini,yes,M,US011,NA,NA,1.27,NA,0.207,NA,US_MA
Ceratina_calcarata,Apidae,Xylocopinae,Ceratini,yes,F,id_136,0.0135,NA,1.98,0.5,NA,NA,USA
Ceratina_calcarata,Apidae,Xylocopinae,Ceratini,yes,F,id_33,0.013,NA,2.08,0.39,0.46,NA,USA
Ceratina_calcarata,Apidae,Xylocopinae,Ceratini,yes,M,id_116,0.0088,NA,1.91,0.29,NA,NA,USA
Ceratina_calcarata,Apidae,Xylocopinae,Ceratini,yes,F,id_134,0.0105,NA,1.83,0.28,0.43,NA,USA
Ceratina_calcarata,Apidae,Xylocopinae,Ceratini,yes,M,id_208,NA,NA,0.95,NA,0.4,NA,USA
Ceratina_calcarata,Apidae,Xylocopinae,Ceratini,yes,M,id_51,0.01,NA,2.064,0.38,NA,NA,USA
Ceratina_calcarata,Apidae,Xylocopinae,Ceratini,yes,M,US051,NA,NA,1.27,NA,0.274,NA,US_MA
Ceratina_calcarata,Apidae,Xylocopinae,Ceratini,yes,M,US012,NA,NA,1.397,NA,0.221,NA,US_MA
Ceratina_calcarata,Apidae,Xylocopinae,Ceratini,yes,F,id_158,0.0116,NA,1.88,0.34,NA,NA,USA
Colletes_compactus,Colletidae,Colletinae,Colletini,yes,F,id_159,0.085,NA,2.814,1.6,NA,NA,USA
Colletes_hylaeiformis,Colletidae,Colletinae,Colletini,yes,M,id_F19,0.0152,0.0029,2.311,NA,1.35,0.761,Spain
Colletes_simulans,Colletidae,Colletinae,Colletini,yes,F,id_113,0.055,NA,2.643,1.4,NA,NA,USA
Colletes_simulans,Colletidae,Colletinae,Colletini,yes,M,id_145,0.0507,NA,2.371,1,NA,NA,USA
Colletes_simulans,Colletidae,Colletinae,Colletini,yes,F,id_106,0.0626,NA,2.557,1.6,NA,NA,USA
Colletes_simulans,Colletidae,Colletinae,Colletini,yes,F,id_109,0.0697,NA,2.779,1.5,NA,NA,USA
Dasypoda_cingulata,Melittidae,Dasypodainae,Dasypodaini,yes,M,id_B29,0.0466,0.006,2.739,NA,1.33,0.673,Spain
Dasypoda_cingulata,Melittidae,Dasypodainae,Dasypodaini,yes,M,id_B14,NA,NA,3.023,NA,1.94,0.88,Spain
Dasypoda_cingulata,Melittidae,Dasypodainae,Dasypodaini,yes,M,id_B18,0.0372,0.0055,2.699,NA,1.05,0.44,Spain
Dasypoda_crassicornis,Melittidae,Dasypodainae,Dasypodaini,yes,M,id_B37,0.0419,0.0042,2.588,NA,1.07,0.448,Spain
Dasypoda_hirtipes,Melittidae,Dasypodainae,Dasypodaini,yes,F,id_F36,NA,NA,2.957,NA,1.47,NA,Spain
Dasypoda_iberica,Melittidae,Dasypodainae,Dasypodaini,yes,M,id_B41,0.0408,0.0044,2.529,NA,1.3,0.443,Spain
Dasypoda_iberica,Melittidae,Dasypodainae,Dasypodaini,yes,M,id_B40,0.026,0.0034,2.453,NA,0.93,NA,Spain
Epeolus_scutellaris,Apidae,Nomadinae,Epeolini,yes,M,id_79,0.0273,NA,2.83,1.3,NA,NA,USA
Epeolus_scutellaris,Apidae,Nomadinae,Epeolini,yes,M,id_73,0.024,NA,2.58,1.65,NA,NA,USA
Eucera_elongatula,Apidae,Apinae,Eucerini,yes,F,id_B71,0.0558,0.0077,2.931,NA,1.95,1.225,Spain
Eucera_elongatula,Apidae,Apinae,Eucerini,yes,F,id_A36,0.0399,0.006,2.761,NA,1.23,0.6,Spain
Flavipanurgus_venustus,Andrenidae,Panurginae,Panurgini,yes,F,id_B54,0.0203,0.0036,1.874,NA,0.62,NA,Spain
Flavipanurgus_venustus,Andrenidae,Panurginae,Panurgini,yes,M,id_B55,0.0206,0.0033,1.833,NA,0.92,0.288,Spain
Halictus_confusus,Halictidae,Halictinae,Halictini,yes,M,id_60,0.0104,NA,1.957,0.45,NA,NA,USA
Halictus_confusus,Halictidae,Halictinae,Halictini,yes,F,id_H173,NA,NA,1.91,NA,0.527,0.24,Netherlands
Halictus_confusus,Halictidae,Halictinae,Halictini,yes,F,id_H168,NA,NA,1.77,NA,0.332,0.145,Netherlands
Halictus_confusus,Halictidae,Halictinae,Halictini,yes,F,US050,NA,NA,1.524,NA,0.338,NA,US_MA
Halictus_confusus,Halictidae,Halictinae,Halictini,yes,F,US102,NA,NA,1.3335,NA,0.335,NA,US_MA
Halictus_confusus,Halictidae,Halictinae,Halictini,yes,F,id_210,NA,NA,1.867,NA,0.56,NA,USA
Halictus_ligatus,Halictidae,Halictinae,Halictini,yes,F,id_217,NA,NA,2.65,NA,0.7,NA,USA
Halictus_ligatus,Halictidae,Halictinae,Halictini,yes,M,id_125,0.0102,NA,2.1,0.64,NA,NA,USA
Halictus_ligatus,Halictidae,Halictinae,Halictini,yes,M,id_118,0.0149,NA,2.59,0.55,NA,NA,USA
Halictus_ligatus,Halictidae,Halictinae,Halictini,yes,M,id_140,0.0194,NA,2.52,0.6,0.73,NA,USA
Halictus_ligatus,Halictidae,Halictinae,Halictini,yes,M,id_139,0.0123,NA,2.28,0.46,0.67,NA,USA
Halictus_ligatus,Halictidae,Halictinae,Halictini,yes,M,id_124,0.0117,NA,2.16,0.71,NA,NA,USA
Halictus_ligatus,Halictidae,Halictinae,Halictini,yes,M,id_142,0.0098,NA,2.23,0.56,0.72,NA,USA
Halictus_ligatus,Halictidae,Halictinae,Halictini,yes,M,id_97,0.0238,NA,2.59,0.74,NA,NA,USA
Halictus_ligatus,Halictidae,Halictinae,Halictini,yes,F,US055,NA,NA,2.032,NA,0.653,NA,US_MA
Halictus_ligatus,Halictidae,Halictinae,Halictini,yes,F,US124,NA,NA,1.524,NA,0.395,NA,US_MA
Halictus_ligatus,Halictidae,Halictinae,Halictini,yes,F,id_216,NA,NA,2.55,NA,0.72,NA,USA
Halictus_ligatus,Halictidae,Halictinae,Halictini,yes,M,id_141,0.0077,NA,1.88,0.42,0.63,NA,USA
Halictus_quadricinctus,Halictidae,Halictinae,Halictini,yes,M,id_F20,0.097,0.0148,2.895,NA,1.55,0.665,Spain
Halictus_rubicundus,Halictidae,Halictinae,Halictini,yes,F,id_H127,NA,NA,2.44,NA,0.443,NA,Netherlands
Halictus_rubicundus,Halictidae,Halictinae,Halictini,yes,F,id_H120,NA,NA,2.8,NA,1.06,0.535,Netherlands
Halictus_rubicundus,Halictidae,Halictinae,Halictini,yes,F,US064,NA,NA,2.0955,NA,0.929,NA,US_MA
Halictus_rubicundus,Halictidae,Halictinae,Halictini,yes,F,id_H18,NA,NA,1.92,NA,0.923,0.51,Netherlands
Heriades_rubicola,Megachilidae,Megachilinae,Osmiini,yes,F,id_F18,0.0061,0.0019,1.642,NA,0.42,0.153,Spain
Hoplitis_papaveris,Megachilidae,Megachilinae,Osmiini,yes,F,id_B26,0.027,0.0062,2.213,NA,1.1,0.665,Spain
Hoplitis_papaveris,Megachilidae,Megachilinae,Osmiini,yes,M,id_B28,0.024,0.0051,2.26,NA,0.59,NA,Spain
Hoplitis_papaveris,Megachilidae,Megachilinae,Osmiini,yes,M,id_B75,NA,NA,2.656,NA,1.17,0.538,Spain
Hylaeus_mesillae,Colletidae,Hylaeinae,Hylaeus,yes,F,id_219,NA,NA,1.4,NA,0.26,NA,USA
Hylaeus_modestus,Colletidae,Hylaeinae,Hylaeus,yes,F,id_99,0.0029,NA,1.46,0.22,NA,NA,USA
Hylaeus_modestus,Colletidae,Hylaeinae,Hylaeus,yes,F,id_101,0.0065,NA,1.48,0.23,NA,NA,USA
Hylaeus_modestus,Colletidae,Hylaeinae,Hylaeus,yes,F,id_220,NA,NA,1.65,NA,0.31,NA,USA
Lasioglossum_calceatum,Halictidae,Halictinae,Halictini,yes,F,id_H72,NA,NA,1.65,NA,0.675,0.343,Netherlands
Lasioglossum_calceatum,Halictidae,Halictinae,Halictini,yes,F,id_H101,NA,NA,2.25,NA,0.773,0.316,Netherlands
Lasioglossum_calceatum,Halictidae,Halictinae,Halictini,yes,F,id_H48,NA,NA,1.56,NA,0.506,0.347,Netherlands
Lasioglossum_calceatum,Halictidae,Halictinae,Halictini,yes,F,id_H49,NA,NA,1.83,NA,0.666,0.361,Netherlands
Lasioglossum_calceatum,Halictidae,Halictinae,Halictini,yes,F,id_H102,NA,NA,2.3,NA,0.663,NA,Netherlands
Lasioglossum_calceatum,Halictidae,Halictinae,Halictini,yes,F,id_H16,NA,NA,1.76,NA,0.655,0.398,Netherlands
Lasioglossum_coriaceum,Halictidae,Halictinae,Halictini,yes,F,US054,NA,NA,1.8415,NA,0.84,NA,US_MA
Lasioglossum_coriaceum,Halictidae,Halictinae,Halictini,yes,F,US128,NA,NA,2.032,NA,0.817,NA,US_MA
Lasioglossum_coriaceum,Halictidae,Halictinae,Halictini,yes,M,id_144,0.0249,NA,2.52,0.85,NA,NA,USA
Lasioglossum_coriaceum,Halictidae,Halictinae,Halictini,yes,F,US129,NA,NA,1.8415,NA,0.569,NA,US_MA
Lasioglossum_cressonii,Halictidae,Halictinae,Halictini,yes,F,id_32,0.009,NA,2,0.38,NA,NA,USA
Lasioglossum_dialictus,Halictidae,Halictinae,Halictini,no,F,id_223,NA,NA,1.304,NA,0.31,NA,USA
Lasioglossum_fulvicorne,Halictidae,Halictinae,Halictini,yes,F,id_H24,NA,NA,1.26,NA,0.3,NA,Netherlands
Lasioglossum_imitatum,Halictidae,Halictinae,Halictini,yes,F,id_137,0.0022,NA,1.09,0.15,NA,NA,USA
Lasioglossum_imitatum,Halictidae,Halictinae,Halictini,yes,F,id_163,0.0032,NA,1.29,0.21,NA,NA,USA
Lasioglossum_imitatum,Halictidae,Halictinae,Halictini,yes,M,id_161,0.0016,NA,1.19,0.22,NA,NA,USA
Lasioglossum_imitatum,Halictidae,Halictinae,Halictini,yes,M,id_157,0.0027,NA,1.34,0.2,NA,NA,USA
Lasioglossum_imitatum,Halictidae,Halictinae,Halictini,yes,F,id_55,0.0039,NA,1.79,0.31,NA,NA,USA
Lasioglossum_imitatum,Halictidae,Halictinae,Halictini,yes,F,id_43,0.0037,NA,1.74,0.3,NA,NA,USA
Lasioglossum_immunitum,Halictidae,Halictinae,Halictini,yes,F,id_C7,0.0116,NA,1.854,NA,0.68,0.337,Spain
Lasioglossum_leucozonium,Halictidae,Halictinae,Halictini,yes,F,id_H149,NA,NA,2.22,NA,0.432,0.257,Netherlands
Lasioglossum_leucozonium,Halictidae,Halictinae,Halictini,yes,F,id_H116,NA,NA,2.35,NA,0.672,0.385,Netherlands
Lasioglossum_leucozonium,Halictidae,Halictinae,Halictini,yes,F,id_H148,NA,NA,2.08,NA,0.336,0.185,Netherlands
Lasioglossum_punctatissimum,Halictidae,Halictinae,Halictini,yes,F,id_H114,NA,NA,1.51,NA,0.371,0.157,Netherlands
Lasioglossum_punctatissimum,Halictidae,Halictinae,Halictini,yes,F,id_H113,NA,NA,1.55,NA,0.335,0.181,Netherlands
Lasioglossum_punctatissimum,Halictidae,Halictinae,Halictini,yes,F,id_H132,NA,NA,1.51,NA,0.249,0.199,Netherlands
Lasioglossum_punctatissimum,Halictidae,Halictinae,Halictini,yes,F,id_H131,NA,NA,1.68,NA,0.236,0.157,Netherlands
Lasioglossum_sexnotatum,Halictidae,Halictinae,Halictini,yes,F,id_H130,NA,NA,2.71,NA,1.038,0.484,Netherlands
Lasioglossum_sexnotatum,Halictidae,Halictinae,Halictini,yes,F,id_H152,NA,NA,2.4,NA,0.785,0.4,Netherlands
Lasioglossum_sexnotatum,Halictidae,Halictinae,Halictini,yes,F,id_H167,NA,NA,2.57,NA,0.63,0.34,Netherlands
Lasioglossum_sexstrigatum,Halictidae,Halictinae,Halictini,no,F,id_H19,NA,NA,1.26,NA,0.231,0.178,Netherlands
Lasioglossum_zonulum,Halictidae,Halictinae,Halictini,yes,F,id_H129,NA,NA,2.22,NA,0.733,NA,Netherlands
Lasioglossum_zonulum,Halictidae,Halictinae,Halictini,yes,F,id_H159,NA,NA,2.4,NA,0.608,NA,Netherlands
Lasioglossum_zonulum,Halictidae,Halictinae,Halictini,yes,F,id_H115,NA,NA,2.17,NA,0.64,0.282,Netherlands
Lasioglossum_zonulum,Halictidae,Halictinae,Halictini,yes,F,id_H138,NA,NA,2.35,NA,0.647,NA,Netherlands
Megachile_centuncularis,Megachilidae,Megachilinae,Megachilini,yes,F,id_H169,NA,NA,3.91,NA,1.591,0.835,Netherlands
Megachile_centuncularis,Megachilidae,Megachilinae,Megachilini,yes,F,id_F14,0.0503,0.0111,3.073,NA,1.16,NA,Spain
Megachile_centuncularis,Megachilidae,Megachilinae,Megachilini,yes,F,US135,NA,NA,2.4765,NA,1.095,NA,US_MA
Megachile_centuncularis,Megachilidae,Megachilinae,Megachilini,yes,F,id_H164,NA,NA,3.86,NA,1.68,0.726,Netherlands
Megachile_centuncularis,Megachilidae,Megachilinae,Megachilini,yes,F,id_89,0.05,NA,3.69,1.4,NA,NA,USA
Megachile_latimanus,Megachilidae,Megachilinae,Megachilini,yes,F,id_115,0.1276,NA,3.571,2.1,NA,NA,USA
Megachile_ligniseca,Megachilidae,Megachilinae,Megachilini,yes,F,id_H165,NA,NA,3.9,NA,2.963,1.31,Netherlands
Megachile_mendica,Megachilidae,Megachilinae,Megachilini,yes,F,id_114,0.0755,NA,4.01,2,NA,NA,USA
Megachile_mendica,Megachilidae,Megachilinae,Megachilini,yes,M,US133,NA,NA,2.8575,NA,1.803,NA,US_MA
Megachile_mucida,Megachilidae,Megachilinae,Megachilini,no,F,id_69,0.0817,NA,3.164,1.5,NA,NA,USA
Megachile_pugnata,Megachilidae,Megachilinae,Megachilini,yes,F,id_224,NA,NA,4.08,NA,3,NA,USA
Megachile_relativa,Megachilidae,Megachilinae,Megachilini,yes,F,id_98,0.0443,NA,2.6,1.3,NA,NA,USA
Megachile_relativa,Megachilidae,Megachilinae,Megachilini,yes,F,id_104,0.0535,NA,2.6,1.2,NA,NA,USA
Megachile_relativa,Megachilidae,Megachilinae,Megachilini,yes,F,id_107,0.0568,NA,3.69,1.5,NA,NA,USA
Megachile_rotundata,Megachilidae,Megachilinae,Megachilini,yes,M,id_72,0.0193,NA,2.71,0.93,NA,NA,USA
Megachile_rotundata,Megachilidae,Megachilinae,Megachilini,yes,F,id_225,NA,NA,2.826,NA,2,NA,USA
Megachile_rotundata,Megachilidae,Megachilinae,Megachilini,yes,M,US109,NA,NA,2.2225,NA,1.058,NA,US_MA
Megachile_rotundata,Megachilidae,Megachilinae,Megachilini,yes,F,id_52,0.0285,NA,2.893,1,1.2,NA,USA
Megachile_rotundata,Megachilidae,Megachilinae,Megachilini,yes,M,US110,NA,NA,2.286,NA,1.027,NA,US_MA
Megachile_rotundata,Megachilidae,Megachilinae,Megachilini,yes,M,id_77,0.0178,NA,3.79,0.88,NA,NA,USA
Melissodes_agilis,Apidae,Apinae,Eucerini,yes,M,id_59,0.0355,NA,3.121,1.1,NA,NA,USA
Melissodes_bimaculata,Apidae,Apinae,Eucerini,yes,F,id_133,0.0567,NA,2.514,1,NA,NA,USA
Melissodes_bimaculata,Apidae,Apinae,Eucerini,yes,F,id_132,0.0628,NA,2.643,1.3,NA,NA,USA
Melissodes_bimaculata,Apidae,Apinae,Eucerini,yes,F,US117,NA,NA,2.8575,NA,2.022,NA,US_MA
Melissodes_bimaculata,Apidae,Apinae,Eucerini,yes,M,US122,NA,NA,2.286,NA,1.661,NA,US_MA
Melissodes_desponsus,Apidae,Apinae,Eucerini,yes,F,id_131,0.0654,NA,2.779,1.1,NA,NA,USA
Melissodes_desponsus,Apidae,Apinae,Eucerini,yes,F,id_112,0.0735,NA,2.429,1.6,NA,NA,USA
Nomada_cressonii,Apidae,Nomadinae,Nomadini,yes,F,id_226,NA,NA,2.304,NA,1.76,NA,USA
Nomada_discrepans,Apidae,Nomadinae,Nomadini,yes,M,id_B45,0.0068,0.0013,1.236,NA,0.25,NA,Spain
Nomada_luteoloides,Apidae,Nomadinae,Nomadini,yes,F,id_227,NA,NA,2.435,NA,1.7,NA,USA
Nomada_merceti,Apidae,Nomadinae,Nomadini,yes,F,id_B52,0.013,0.0022,1.415,NA,0.73,0.235,Spain
Nomada_merceti,Apidae,Nomadinae,Nomadini,yes,F,id_B51,0.0113,0.0016,1.343,NA,0.32,0.113,Spain
Nomada_merceti,Apidae,Nomadinae,Nomadini,yes,F,id_B42,0.0113,0.0025,1.541,NA,1.04,0.305,Spain
Nomada_succincta,Apidae,Nomadinae,Nomadini,yes,F,id_B13,NA,NA,2.057,NA,1.34,NA,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_43112,NA,NA,3.193,NA,1.316,0.684,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_68/2,NA,NA,3.342,NA,1.553,0.819,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_34/6,NA,NA,3.314,NA,1.013,0.685,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_43142,NA,NA,3.365,NA,1.548,0.865,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_34/2,NA,NA,3.287,NA,1.237,0.813,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_34/5,NA,NA,3.192,NA,1.517,0.734,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,M,id_OB4,NA,NA,2.626,NA,1.328,0.582,Germany
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_X1,NA,NA,3.29,NA,1.154,0.754,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,M,id_OB6,NA,NA,2.562,NA,1.269,0.619,Germany
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_38/1,NA,NA,3.076,NA,1.375,0.713,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_34/4,NA,NA,3.226,NA,1.618,0.894,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_X3,NA,NA,3.381,NA,1.172,0.803,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,M,id_OB2,NA,NA,2.771,NA,1.381,0.73,Germany
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_33/6,NA,NA,3.18,NA,0.981,0.531,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_H94,NA,NA,3.9,NA,1.56,0.797,Netherlands
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_33/2,NA,NA,3.134,NA,1.249,0.564,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_115/1,NA,NA,2.452,NA,1.121,0.582,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_OB5,NA,NA,2.465,NA,1.071,0.315,Germany
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_33/3,NA,NA,3.063,NA,0.861,0.556,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,M,id_OB9,NA,NA,2.678,NA,0.912,0.258,Germany
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_35/1,NA,NA,3.1,NA,1.092,0.556,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_OB11,NA,NA,2.848,NA,1.78,0.912,Germany
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_33/51,NA,NA,3.267,NA,1.061,NA,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,M,id_OB1,NA,NA,2.767,NA,1.642,0.702,Germany
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_43202,NA,NA,3.219,NA,1.065,0.647,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_43232,NA,NA,3.156,NA,1.009,0.505,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_34/3,NA,NA,3.108,NA,1.307,0.738,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_33/1,NA,NA,3.243,NA,1.134,0.758,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_43293,NA,NA,3.313,NA,1.218,0.824,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_34/1,NA,NA,2.926,NA,1.049,0.493,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_12/3,NA,NA,3.302,NA,1.353,0.79,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_OB,NA,NA,3.29,NA,1.238,0.621,Germany
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,F,id_33/5,NA,NA,3.173,NA,1.095,0.69,Spain
Osmia_bicornis,Megachilidae,Megachilinae,Osmiini,yes,M,id_OB8,NA,NA,2.683,NA,1.403,0.631,Germany
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,M,id_152/7,NA,NA,1.803,NA,0.615,0.275,Spain
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,M,id_152/6,NA,NA,1.784,NA,0.434,0.276,Spain
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,M,id_142/3,NA,NA,1.915,NA,0.588,0.33,Spain
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,M,id_152/4,NA,NA,1.742,NA,0.662,0.25,Spain
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,F,id_H144,NA,NA,2.8,NA,0.855,0.434,Netherlands
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,M,id_50/1,NA,NA,2.538,NA,0.769,0.354,Spain
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,M,id_85/1,NA,NA,1.939,NA,0.569,0.38,Spain
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,M,id_43/1,NA,NA,2.413,NA,0.8,0.238,Spain
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,M,id_120/1,NA,NA,2.269,NA,0.81,0.334,Spain
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,M,id_152/3,NA,NA,1.829,NA,0.925,0.321,Spain
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,M,id_N105/1,NA,NA,2.024,NA,0.5,0.303,Spain
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,M,id_50/2,NA,NA,2.278,NA,0.722,0.436,Spain
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,M,id_142/1,NA,NA,1.898,NA,0.599,0.309,Spain
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,M,id_N106/1,NA,NA,2.234,NA,0.579,0.279,Spain
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,M,id_152/5,NA,NA,1.783,NA,0.407,0.223,Spain
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,M,id_46/2,NA,NA,2.283,NA,0.502,0.274,Spain
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,M,id_43130,NA,NA,2.467,NA,0.866,0.428,Spain
Osmia_caerulescens,Megachilidae,Megachilinae,Osmiini,yes,M,id_C3,NA,NA,2.719,NA,1.53,0.572,Spain
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC42,NA,NA,2.616,NA,1.269,0.777,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC31,NA,NA,3.974,NA,1.321,0.7,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,M,id_OC32,NA,NA,3.366,NA,1.356,0.734,Germany
Osmia_cornuta,Megachilidae,Megachilinae,Osmiini,yes,F,id_OC25,NA,NA,3.828,NA,1.803,0.854,Germany
