Species,IT,Brain.weight,Country,Max_val,Min_val
Osmia bicornis,3.9,1.56,Netherlands,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.134,1.249,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,2.452,1.121,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,2.465,1.071,Germany,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.063,0.861,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.1,1.092,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,2.848,1.78,Germany,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.267,1.061,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.219,1.065,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.156,1.009,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.108,1.307,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.243,1.134,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.313,1.218,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,2.926,1.049,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.302,1.353,Spain,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.29,1.238,Germany,1.7919999999999998,0.6360000000000002
Osmia bicornis,3.173,1.095,Spain,1.7919999999999998,0.6360000000000002
Osmia caerulescens,2.8,0.855,Netherlands,0.855,0.855
Osmia cornuta,3.974,1.321,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.828,1.803,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.607,1.46,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.761,2.643,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.447,1.998,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.855,2.072,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.117,1.715,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.115,1.322,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.891,2.472,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.694,2.304,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.587,1.482,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.78,2.03,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.647,2.216,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.343,1.594,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.827,2.41,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.69,2.816,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.198,1.332,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.704,2.388,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.567,1.981,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.719,1.875,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.768,2.296,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.613,1.939,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.775,2.09,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.718,1.755,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.379,1.932,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.605,2.102,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.597,1.839,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.95,1.579,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.427,1.738,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.557,1.668,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.566,1.531,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.805,2.314,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.663,2.115,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.792,2.356,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,4.053,2.583,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.856,2.434,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.855,2.186,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.582,1.842,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.83,2.2,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.605,1.765,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.682,2.249,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.718,1.387,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.719,1.71,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.242,1.506,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.337,1.701,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.368,1.835,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.633,1.73,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.596,1.885,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.668,1.73,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.746,2.146,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.244,1.736,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.806,1.707,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.659,1.998,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.628,1.813,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.304,1.587,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.544,1.974,Germany,2.9350000000000005,0.9749999999999996
Osmia cornuta,3.73,2.388,Germany,2.9350000000000005,0.9749999999999996
Osmia latreillei,2.863,0.842,Spain,1.5515,0.6054999999999999
Osmia latreillei,2.76,1.315,Spain,1.5515,0.6054999999999999
Osmia leaiana,2.896,1.285,Spain,1.4674999999999998,0.7375000000000002
Osmia leaiana,2.635,0.92,Spain,1.4674999999999998,0.7375000000000002
Osmia submicans,2.055,0.65,Spain,0.8425,0.35850000000000004
