ID,Genus,Species,Sex,Place,Date,IT,Weigth..g.,Head.weight..g.,Plant,Brain.Weight..mg.,No.optic.lobes.weight,Country,Notes
152/6,Osmia,Osmia caerulescens,Male,Sevilla,,1.784,NA,NA,,0.434,0.276,Spain,Born from coccon. not captured
103/1,Osmia,Osmia leaiana,Female,Sevilla,,2.728,NA,NA,,NA,NA,Spain,Born from coccon. not captured
100/1,Osmia,Osmia leaiana,Female,Sevilla,,2.877,NA,NA,,NA,NA,Spain,Born from coccon. not captured
N103/2,Osmia,Osmia leaiana,Female,Carambolo,,2.694,NA,NA,,NA,NA,Spain,Born from coccon. not captured
105/3,Osmia,Osmia leaiana,Female,Sevilla,,2.635,NA,NA,,0.92,0.303,Spain,Born from coccon. not captured
100/2,Osmia,Osmia leaiana,Female,Sevilla,,2.896,NA,NA,,1.285,0.547,Spain,Born from coccon. not captured
103/3,Osmia,Osmia leaiana,Female,Sevilla,,2.842,NA,NA,,NA,NA,Spain,Born from coccon. not captured
46/1,Osmia,Osmia latreillei,Female,Sevilla,,3.061,NA,NA,,NA,NA,Spain,Asegurar si es leiana o latreillei. pues comparten cañas
105/2,Osmia,Osmia latreillei,Female,Sevilla,,2.863,NA,NA,,0.842,0.491,Spain,Asegurar si es leiana o latreillei. pues comparten cañas
100/3,Osmia,Osmia latreillei,Female,Sevilla,,2.76,NA,NA,,1.315,0.601,Spain,Asegurar si es leiana o latreillei. pues comparten cañas
142/2,Osmia,Osmia submicans,Female,Sevilla,,2.055,NA,NA,,0.65,0.308,Spain,Born from coccon. not captured
152/1,Osmia,Osmia submicans,Female,Sevilla,,2.044,NA,NA,,0.672,0.238,Spain,Born from coccon. not captured
128/4,Osmia,Osmia submicans,Female,Sevilla,,2.137,NA,NA,,NA,NA,Spain,Born from coccon. not captured
128/3,Osmia,Osmia submicans,Female,Sevilla,,2.114,NA,NA,,NA,NA,Spain,Born from coccon. not captured
128/2,Osmia,Osmia submicans,Female,Sevilla,,2.047,NA,NA,,NA,NA,Spain,Born from coccon. not captured
142/4,Osmia,Osmia submicans,Female,Sevilla,,2.138,NA,NA,,0.43,NA,Spain,Born from coccon. not captured
N05/2,Stelis,Stelis breviuscula,Female,Carambolo,,2.154,NA,NA,,NA,NA,Spain,Born from coccon. not captured
99/1,Stelis,Stelis breviuscula,Female,Sevilla,,1.949,NA,NA,,0.348,NA,Spain,Born from coccon. not captured
88/1,Stelis,Stelis breviuscula,Female,Sevilla,,2.091,NA,NA,,0.416,0.351,Spain,Born from coccon. not captured
126/1,Stelis,Stelis breviuscula,Male,Sevilla,,1.857,NA,NA,,0.566,0.226,Spain,Born from coccon. not captured
126/2,Stelis,Stelis breviuscula,Male,Sevilla,,1.603,NA,NA,,NA,NA,Spain,Born from coccon. not captured
125/1,Stelis,Stelis breviuscula,Male,Sevilla,,1.521,NA,NA,,NA,NA,Spain,Born from coccon. not captured
N111,NA,NA,NA,Carambolo,,1.847,NA,NA,,NA,NA,Spain,Born from coccon. not captured
