"","Species","IT","Brain.weight","residuals","Brain.IT","original.trends","source","f.trend","Bartomeus.Estimate","Bartomeus.SE"
"239","Bombus terrestris",4.232,3.988,0.378590895592049,0.94234404536862,"0.73","Scheper","declining",NA,NA
"240","Bombus terrestris",3.95,2.26,-0.0620132184291243,0.572151898734177,"0.73","Scheper","declining",NA,NA
"241","Bombus terrestris",4.299,2.95,0.0481046186059921,0.686206094440568,"0.73","Scheper","declining",NA,NA
"242","Bombus terrestris",4.032,2.6,0.0401970667177154,0.64484126984127,"0.73","Scheper","declining",NA,NA
"243","Bombus terrestris",4.428,2.231,-0.285838294691458,0.503839205058717,"0.73","Scheper","declining",NA,NA
"244","Bombus terrestris",5.57,5.564,0.204395307363603,0.998922800718133,"0.73","Scheper","declining",NA,NA
"245","Bombus terrestris",4.223,2.889,0.0601421401740262,0.684110821690741,"0.73","Scheper","declining",NA,NA
"246","Bombus terrestris",4.563,2.789,-0.118054457705065,0.611220688143765,"0.73","Scheper","declining",NA,NA
"247","Bombus terrestris",4.45,3.16,0.0531332816266946,0.710112359550562,"0.73","Scheper","declining",NA,NA
"248","Bombus terrestris",4.22,2.618,-0.0370455269795699,0.620379146919431,"0.73","Scheper","declining",NA,NA
"249","Bombus terrestris",4.5,3.09,0.0101028030431307,0.686666666666667,"0.73","Scheper","declining",NA,NA
"250","Bombus terrestris",3.504,3.323,0.544698880209088,0.948344748858447,"0.73","Scheper","declining",NA,NA
"251","Bombus terrestris",4.178,3.454,0.258544584200689,0.826711345141216,"0.73","Scheper","declining",NA,NA
"252","Bombus terrestris",4.336,3.47,0.19463135886191,0.800276752767528,"0.73","Scheper","declining",NA,NA
"253","Bombus terrestris",3.892,2.814,0.184540528757486,0.723021582733813,"0.73","Scheper","declining",NA,NA
"254","Bombus terrestris",3.843,1.741,-0.27221410593138,0.453031485818371,"0.73","Scheper","declining",NA,NA
"255","Bombus terrestris",4.896,6.37,0.577810028441895,1.30106209150327,"0.73","Scheper","declining",NA,NA
"256","Bombus terrestris",4.36,3.682,0.24374151664273,0.844495412844037,"0.73","Scheper","declining",NA,NA
"257","Bombus terrestris",4.118,3.434,0.279444555734735,0.833899951432734,"0.73","Scheper","declining",NA,NA
"258","Bombus terrestris",4.097,2.43,-0.0569504107216559,0.593116914815719,"0.73","Scheper","declining",NA,NA
"259","Bombus terrestris",4.379,2.714,-0.0693194350812144,0.619776204612925,"0.73","Scheper","declining",NA,NA
"260","Bombus terrestris",4.289,2.72,-0.028768891219608,0.634180461646071,"0.73","Scheper","declining",NA,NA
"261","Bombus terrestris",4.257,2.99,0.0796995921097283,0.702372562837679,"0.73","Scheper","declining",NA,NA
"262","Bombus terrestris",4.147,2.923,0.10537256101451,0.70484687726067,"0.73","Scheper","declining",NA,NA
"263","Bombus terrestris",4.713,3.59,0.0746964682800114,0.761722894122639,"0.73","Scheper","declining",NA,NA
"264","Bombus terrestris",4.149,2.349,-0.114138443558854,0.566160520607375,"0.73","Scheper","declining",NA,NA
"265","Bombus terrestris",3.84,3.558,0.443966700609058,0.9265625,"0.73","Scheper","declining",NA,NA
"266","Bombus terrestris",4.294,3.49,0.218349822894784,0.812761993479274,"0.73","Scheper","declining",NA,NA
"267","Bombus vagans",2.794,1.179,-0.0734374808354313,0.421975662133142,"declining","Bartomeus","declining",-0.0081,0.0013
"268","Calliopsis andreniformis",1.5875,0.28,-0.467316877718973,0.176377952755906,"increasing","Bartomeus","increasing",0.0073,0.0029
"269","Calliopsis andreniformis",1.4605,0.45,0.161090633594549,0.30811365970558,"increasing","Bartomeus","increasing",0.0073,0.0029
"270","Ceratina calcarata",1.27,0.274,-0.0769829037013646,0.215748031496063,"increasing","Bartomeus","increasing",0.0194,0.003
"271","Ceratina calcarata",2.08,0.46,-0.469770690217701,0.221153846153846,"increasing","Bartomeus","increasing",0.0194,0.003
"272","Ceratina calcarata",2.39,0.4,-0.866034176107452,0.167364016736402,"increasing","Bartomeus","increasing",0.0194,0.003
"273","Ceratina calcarata",1.83,0.43,-0.300786523884591,0.234972677595628,"increasing","Bartomeus","increasing",0.0194,0.003
"274","Ceratina calcarata",1.397,0.221,-0.467921856402815,0.158196134574087,"increasing","Bartomeus","increasing",0.0194,0.003
"275","Ceratina calcarata",1.27,0.207,-0.357392216824066,0.162992125984252,"increasing","Bartomeus","increasing",0.0194,0.003
"276","Ceratina strenua",0.889,0.153,-0.00113529728553967,0.172103487064117,"increasing","Bartomeus","increasing",0.013,0.0046
"277","Colletes thoracicus",3.048,1.45,-0.0271918084148563,0.475721784776903,"increasing","Bartomeus","increasing",0.0217,0.0039
"278","Colletes thoracicus",3.429,1.533,-0.188994503678618,0.447069116360455,"increasing","Bartomeus","increasing",0.0217,0.0039
"279","Colletes thoracicus",3.3655,1.581,-0.123651796759297,0.469766750854256,"increasing","Bartomeus","increasing",0.0217,0.0039
"280","Dasypoda iberica",2.529,1.3,0.208246968769264,0.514037168841439,"DD","IUCN","unknown",NA,NA
"281","Dasypoda iberica",2.453,0.93,-0.0703525527851444,0.379127598858541,"DD","IUCN","unknown",NA,NA
"282","Flavipanurgus venustus",1.833,0.92,0.456777653762346,0.501909438079651,"LC","IUCN","stable",NA,NA
"283","Flavipanurgus venustus",1.696,0.414,-0.198304889679679,0.244103773584906,"LC","IUCN","stable",NA,NA
"284","Flavipanurgus venustus",1.779,0.46,-0.181159688626766,0.258572231590781,"LC","IUCN","stable",NA,NA
"285","Flavipanurgus venustus",1.874,0.62,0.021280514167668,0.330843116328709,"LC","IUCN","stable",NA,NA
"286","Flavipanurgus venustus",1.766,0.353,-0.432376609255477,0.199886749716874,"LC","IUCN","stable",NA,NA
"287","Halictus confusus",1.3335,0.335,0.0339370320604966,0.251218597675291,"1.26","Scheper","increasing",0.0041,0.0015
"288","Halictus confusus",1.524,0.338,-0.203689924894223,0.221784776902887,"1.26","Scheper","increasing",0.0041,0.0015
"289","Halictus confusus",1.77,0.332,-0.497886904464157,0.187570621468927,"1.26","Scheper","increasing",0.0041,0.0015
"290","Halictus confusus",2.39,0.56,-0.529561939486239,0.234309623430962,"1.26","Scheper","increasing",0.0041,0.0015
"291","Halictus confusus",1.91,0.527,-0.176370390992211,0.275916230366492,"1.26","Scheper","increasing",0.0041,0.0015
"292","Halictus ligatus",2.52,0.73,-0.362245770495975,0.28968253968254,"increasing","Bartomeus","increasing",0.0073,0.0017
"293","Halictus ligatus",2.23,0.72,-0.150312379091212,0.322869955156951,"increasing","Bartomeus","increasing",0.0073,0.0017
"294","Halictus ligatus",3.21,0.72,-0.822871913771575,0.224299065420561,"increasing","Bartomeus","increasing",0.0073,0.0017
"295","Halictus ligatus",1.524,0.395,-0.0478500554761198,0.259186351706037,"increasing","Bartomeus","increasing",0.0073,0.0017
"296","Halictus ligatus",1.88,0.63,0.0313789065633597,0.335106382978723,"increasing","Bartomeus","increasing",0.0073,0.0017
"297","Halictus ligatus",2.032,0.653,-0.0763132334664502,0.321358267716535,"increasing","Bartomeus","increasing",0.0073,0.0017
"298","Halictus ligatus",2.28,0.67,-0.263226021525692,0.293859649122807,"increasing","Bartomeus","increasing",0.0073,0.0017
"299","Halictus ligatus",3.34,0.7,-0.924341644645568,0.209580838323353,"increasing","Bartomeus","increasing",0.0073,0.0017
"300","Halictus rubicundus",1.92,0.923,0.374416890338364,0.480729166666667,"1.43","Scheper","increasing",-0.0076,0.0019
"301","Halictus rubicundus",2.0955,0.929,0.219403899806676,0.443330947267955,"1.43","Scheper","increasing",-0.0076,0.0019
"302","Halictus rubicundus",2.44,0.443,-0.802156504892703,0.18155737704918,"1.43","Scheper","increasing",-0.0076,0.0019
"303","Halictus rubicundus",2.8,1.06,-0.183795849610131,0.378571428571429,"1.43","Scheper","increasing",-0.0076,0.0019
"304","Hylaeus mesillae",1.76,0.34,-0.463615464097607,0.193181818181818,"stable","Bartomeus","stable",-0.0029,0.002
"305","Hylaeus modestus",2.08,0.31,-0.86442488222165,0.149038461538462,"increasing","Bartomeus","increasing",0.0149,0.0025
"306","Lasioglossum calceatum",2.25,0.773,-0.0957696948090038,0.343555555555556,"1.39","Scheper","increasing",NA,NA
"307","Lasioglossum calceatum",1.65,0.675,0.341310680731567,0.409090909090909,"1.39","Scheper","increasing",NA,NA
"308","Lasioglossum calceatum",2.3,0.663,-0.289853953569989,0.288260869565217,"1.39","Scheper","increasing",NA,NA
"309","Lasioglossum calceatum",1.56,0.506,0.156694031952263,0.324358974358974,"1.39","Scheper","increasing",NA,NA
"310","Lasioglossum calceatum",1.76,0.655,0.192074153927437,0.372159090909091,"1.39","Scheper","increasing",NA,NA
"311","Lasioglossum calceatum",1.83,0.666,0.13671793796819,0.363934426229508,"1.39","Scheper","increasing",NA,NA
"312","Lasioglossum coriaceum",1.8415,0.569,-0.0322575817290767,0.308987238664132,"stable","Bartomeus","stable",2e-04,0.0022
"313","Lasioglossum coriaceum",1.8415,0.84,0.357263875981952,0.456149877816997,"stable","Bartomeus","stable",2e-04,0.0022
"314","Lasioglossum coriaceum",2.032,0.817,0.147748732117122,0.402066929133858,"stable","Bartomeus","stable",2e-04,0.0022
"315","Lasioglossum fulvicorne",1.26,0.3,0.0282669934700236,0.238095238095238,"1.03","Scheper","increasing",NA,NA
"316","Lasioglossum leucozonium",2.08,0.336,-0.783886019737638,0.161538461538462,"2.32","Scheper","increasing",NA,NA
"317","Lasioglossum leucozonium",2.35,0.672,-0.316078043097858,0.285957446808511,"2.32","Scheper","increasing",NA,NA
"318","Lasioglossum leucozonium",2.22,0.432,-0.652839899939644,0.194594594594595,"2.32","Scheper","increasing",NA,NA
"319","Lasioglossum punctatissimum",1.55,0.335,-0.243838593263517,0.216129032258065,"1.56","Scheper","increasing",NA,NA
"320","Lasioglossum punctatissimum",1.51,0.249,-0.492243549793114,0.164900662251656,"1.56","Scheper","increasing",NA,NA
"321","Lasioglossum punctatissimum",1.51,0.371,-0.0934943836503865,0.245695364238411,"1.56","Scheper","increasing",NA,NA
"322","Lasioglossum punctatissimum",1.68,0.236,-0.742838218526206,0.14047619047619,"1.56","Scheper","increasing",NA,NA
"323","Lasioglossum sexnotatum",2.71,1.038,-0.144448097699715,0.383025830258303,"0.8","Scheper","declining",NA,NA
"324","Lasioglossum sexnotatum",2.4,0.785,-0.199524097180868,0.327083333333333,"0.8","Scheper","declining",NA,NA
"325","Lasioglossum sexnotatum",2.57,0.63,-0.545845223596143,0.245136186770428,"0.8","Scheper","declining",NA,NA
"326","Lasioglossum sexstrigatum",1.26,0.231,-0.233097770664384,0.183333333333333,"2.32","Scheper","increasing",NA,NA
"327","Lasioglossum zonulum",2.17,0.64,-0.21773798077564,0.294930875576037,"1.38","Scheper","increasing",NA,NA
"328","Lasioglossum zonulum",2.35,0.647,-0.353990089120106,0.27531914893617,"1.38","Scheper","increasing",NA,NA
"329","Lasioglossum zonulum",2.22,0.733,-0.124119786297102,0.33018018018018,"1.38","Scheper","increasing",NA,NA
"330","Lasioglossum zonulum",2.4,0.608,-0.455032932997109,0.253333333333333,"1.38","Scheper","increasing",NA,NA
"331","Megachile campanulae",2.286,0.822,-0.0636157064076571,0.359580052493438,"increasing","Bartomeus","increasing",0.0105,0.004
"332","Megachile centuncularis",2.4765,1.095,0.0753687052504103,0.442156268927922,"0.72","Scheper","declining",-0.0074,0.0042
"333","Megachile centuncularis",3.91,1.591,-0.394223010291295,0.40690537084399,"0.72","Scheper","declining",-0.0074,0.0042
"334","Megachile centuncularis",3.073,1.16,-0.265417332101592,0.37748128864302,"0.72","Scheper","declining",-0.0074,0.0042
"335","Megachile centuncularis",3.86,1.68,-0.316029414405614,0.435233160621762,"0.72","Scheper","declining",-0.0074,0.0042
"336","Megachile gemula",2.7305,1.305,0.0705450558211253,0.477934444240981,"stable","Bartomeus","stable",0.0026,0.0031
"337","Megachile gemula",3.175,1.51,-0.0620163745314876,0.475590551181102,"stable","Bartomeus","stable",0.0026,0.0031
"338","Megachile mendica",2.8575,1.803,0.309855650940692,0.630971128608924,"stable","Bartomeus","stable",-0.0014,0.0027
"339","Megachile pugnata",6.43,3,-0.678404039426415,0.46656298600311,"stable","Bartomeus","stable",-0.007,0.0042
"340","Megachile texana",3.1115,2.351,0.418015503570297,0.755584123413145,"stable","Bartomeus","stable",-0.0014,0.0056
"341","Megachile willughbiella",3.694,1.966,-0.0776627302112515,0.532214401732539,"1.57","Scheper","increasing",NA,NA
"342","Melissodes bimaculata",2.286,1.661,0.639819008149458,0.726596675415573,"stable","Bartomeus","stable",-0.0039,0.0037
"343","Melissodes bimaculata",2.8575,2.022,0.424490827317791,0.70761154855643,"stable","Bartomeus","stable",-0.0039,0.0037
"344","Nomada cressonii",3.34,1.76,-0.0023528916567747,0.526946107784431,"increasing","Bartomeus","increasing",0.0062,0.0026
"345","Nomada luteoloides",3.53,1.7,-0.139190179454752,0.481586402266289,"increasing","Bartomeus","increasing",0.0205,0.0044
"346","Nomada merceti",1.415,0.73,0.703322493883461,0.515901060070671,"LC","IUCN","stable",NA,NA
"347","Nomada merceti",1.541,1.04,0.899758707926947,0.674886437378326,"LC","IUCN","stable",NA,NA
"348","Nomada merceti",1.343,0.32,-0.0249792920716559,0.238272524199553,"LC","IUCN","stable",NA,NA
"349","Osmia atriventris",2.032,0.447,-0.455331768129312,0.21998031496063,"declining","Bartomeus","declining",-0.0079,0.0023
"350","Osmia bicornis",3.134,1.249,-0.227785209137999,0.398532227185705,"1.44","Scheper","increasing",NA,NA
"351","Osmia bicornis",3.1,1.092,-0.341977792235968,0.352258064516129,"1.44","Scheper","increasing",NA,NA
"352","Osmia bicornis",3.226,1.618,-0.0223570336069301,0.50154990700558,"1.44","Scheper","increasing",NA,NA
"353","Osmia bicornis",3.156,1.009,-0.454084219114821,0.319708491761724,"1.44","Scheper","increasing",NA,NA
"354","Osmia bicornis",3.243,1.134,-0.387500648701499,0.349676225716929,"1.44","Scheper","increasing",NA,NA
"355","Osmia bicornis",3.076,1.375,-0.0971851916642606,0.447009102730819,"1.44","Scheper","increasing",NA,NA
"356","Osmia bicornis",3.313,1.218,-0.355470497134912,0.36764261998189,"1.44","Scheper","increasing",NA,NA
"357","Osmia bicornis",2.848,1.78,0.303165559929444,0.625,"1.44","Scheper","increasing",NA,NA
"358","Osmia bicornis",3.29,1.154,-0.396583968593737,0.350759878419453,"1.44","Scheper","increasing",NA,NA
"359","Osmia bicornis",3.219,1.065,-0.436562415806201,0.330848089468779,"1.44","Scheper","increasing",NA,NA
"360","Osmia bicornis",3.173,1.095,-0.382208256385799,0.345099275133943,"1.44","Scheper","increasing",NA,NA
"361","Osmia bicornis",2.562,1.269,0.160175703101414,0.495316159250585,"1.44","Scheper","increasing",NA,NA
"362","Osmia bicornis",2.626,1.328,0.160065137001414,0.505712109672506,"1.44","Scheper","increasing",NA,NA
"363","Osmia bicornis",3.193,1.316,-0.209966986033748,0.412151581584717,"1.44","Scheper","increasing",NA,NA
"364","Osmia bicornis",2.465,1.071,0.0618007885853109,0.43448275862069,"1.44","Scheper","increasing",NA,NA
"365","Osmia bicornis",3.342,1.553,-0.128583409366616,0.464691801316577,"1.44","Scheper","increasing",NA,NA
"366","Osmia bicornis",3.18,0.981,-0.496214155825014,0.308490566037736,"1.44","Scheper","increasing",NA,NA
"367","Osmia bicornis",3.192,1.517,-0.0672507866029468,0.475250626566416,"1.44","Scheper","increasing",NA,NA
"368","Osmia bicornis",3.063,0.861,-0.557480098652142,0.281096963761019,"1.44","Scheper","increasing",NA,NA
"369","Osmia bicornis",2.767,1.642,0.275739756359838,0.593422479219371,"1.44","Scheper","increasing",NA,NA
"370","Osmia bicornis",3.381,1.172,-0.431481495334803,0.346643005028098,"1.44","Scheper","increasing",NA,NA
"371","Osmia bicornis",3.29,1.238,-0.32632096241724,0.37629179331307,"1.44","Scheper","increasing",NA,NA
"372","Osmia bicornis",3.108,1.307,-0.167012806600307,0.42052767052767,"1.44","Scheper","increasing",NA,NA
"373","Osmia bicornis",3.365,1.548,-0.144471257733866,0.460029717682021,"1.44","Scheper","increasing",NA,NA
"374","Osmia bicornis",2.452,1.121,0.117192117908044,0.457177814029364,"1.44","Scheper","increasing",NA,NA
"375","Osmia bicornis",3.267,1.061,-0.467653510732515,0.324762779308234,"1.44","Scheper","increasing",NA,NA
"376","Osmia bicornis",3.287,1.237,-0.325444696376214,0.376331000912686,"1.44","Scheper","increasing",NA,NA
"377","Osmia bicornis",2.683,1.403,0.175356285957531,0.522922102124488,"1.44","Scheper","increasing",NA,NA
"378","Osmia bicornis",2.926,1.049,-0.275496895098508,0.35850991114149,"1.44","Scheper","increasing",NA,NA
"379","Osmia bicornis",2.771,1.381,0.0999654834442684,0.498376037531577,"1.44","Scheper","increasing",NA,NA
"380","Osmia bicornis",3.314,1.013,-0.540321654014156,0.305672902836451,"1.44","Scheper","increasing",NA,NA
"381","Osmia bicornis",3.302,1.353,-0.244215851195042,0.409751665657177,"1.44","Scheper","increasing",NA,NA
"382","Osmia bicornis",3.9,1.56,-0.409171831342643,0.4,"1.44","Scheper","increasing",NA,NA
"383","Osmia bicornis",2.678,0.912,-0.251927809803491,0.340552651232263,"1.44","Scheper","increasing",NA,NA
"384","Osmia bucephala",2.8575,1.39,0.0497074538621122,0.486439195100612,"stable","Bartomeus","stable",0.0016,0.0034
"385","Osmia bucephala",3.2385,1.452,-0.137746190664519,0.448355720240852,"stable","Bartomeus","stable",0.0016,0.0034
"386","Osmia caerulescens",2.278,0.722,-0.186858301108494,0.31694468832309,"0.8","Scheper","declining",NA,NA
"387","Osmia caerulescens",1.784,0.434,-0.24452358620212,0.243273542600897,"0.8","Scheper","declining",NA,NA
"388","Osmia caerulescens",2.61,1.213,0.0807716305804402,0.464750957854406,"0.8","Scheper","declining",NA,NA
"389","Osmia caerulescens",2.719,1.53,0.237402306324951,0.562706877528503,"0.8","Scheper","declining",NA,NA
"390","Osmia caerulescens",2.234,0.579,-0.37156994020466,0.2591763652641,"0.8","Scheper","declining",NA,NA
"391","Osmia caerulescens",1.939,0.569,-0.127513021467011,0.293450232078391,"0.8","Scheper","declining",NA,NA
"392","Osmia caerulescens",1.898,0.599,-0.0366728021141767,0.315595363540569,"0.8","Scheper","declining",NA,NA
"393","Osmia caerulescens",2.413,0.8,-0.19057002482117,0.331537505180274,"0.8","Scheper","declining",NA,NA
"394","Osmia caerulescens",1.742,0.662,0.221684564984758,0.380022962112514,"0.8","Scheper","declining",NA,NA
"395","Osmia caerulescens",2.8,0.855,-0.398718567779484,0.305357142857143,"0.8","Scheper","declining",NA,NA
"396","Osmia caerulescens",2.024,0.5,-0.335998922366005,0.24703557312253,"0.8","Scheper","declining",NA,NA
"397","Osmia caerulescens",2.283,0.502,-0.554331392072069,0.219886114761279,"0.8","Scheper","declining",NA,NA
"398","Osmia caerulescens",2.467,0.866,-0.152159798192504,0.351033644102148,"0.8","Scheper","declining",NA,NA
"399","Osmia caerulescens",1.783,0.407,-0.307719709270011,0.228266965787998,"0.8","Scheper","declining",NA,NA
"400","Osmia caerulescens",1.803,0.615,0.0844943487177435,0.341098169717138,"0.8","Scheper","declining",NA,NA
"401","Osmia caerulescens",1.915,0.588,-0.0716709873026141,0.307049608355091,"0.8","Scheper","declining",NA,NA
"402","Osmia caerulescens",2.538,0.769,-0.323340492325338,0.302994483845548,"0.8","Scheper","declining",NA,NA
"403","Osmia caerulescens",1.829,0.925,0.466231201353026,0.505740841990159,"0.8","Scheper","declining",NA,NA
"404","Osmia caerulescens",2.049,0.969,0.302991890409896,0.472913616398243,"0.8","Scheper","declining",NA,NA
"405","Osmia caerulescens",2.269,0.81,-0.0645402216633909,0.356985456148083,"0.8","Scheper","declining",NA,NA
"406","Osmia lignaria",3.3655,0.933,-0.651059433121426,0.277224780864656,"declining","Bartomeus","declining",-0.0225,0.0038
"407","Osmia lignaria",3.556,1.414,-0.336945019125926,0.397637795275591,"declining","Bartomeus","declining",-0.0225,0.0038
"408","Osmia pumila",1.651,0.556,0.146247638336987,0.336765596608116,"stable","Bartomeus","stable",0.002,0.003
"409","Osmia pumila",1.9685,0.652,-0.0192273920281303,0.331216662433325,"stable","Bartomeus","stable",0.002,0.003
"410","Sphecodes ranunculi",1.651,0.364,-0.277366788276855,0.220472440944882,"stable","Bartomeus","stable",-0.0033,0.0039
"411","Xylocopa virginica",7.78,5.6,-0.406125632344943,0.719794344473008,"increasing","Bartomeus","increasing",0.0063,0.0029
"412","Xylocopa virginica",7.65,5.1,-0.468539843009473,0.666666666666667,"increasing","Bartomeus","increasing",0.0063,0.0029
"413","Xylocopa virginica",6.5405,6.613,0.0805614105037779,1.01108477945111,"increasing","Bartomeus","increasing",0.0063,0.0029
"414","Xylocopa virginica",5.207,5.787,0.368118061793623,1.11138851545996,"increasing","Bartomeus","increasing",0.0063,0.0029
"415","Xylocopa virginica",7.16,4.8,-0.406945764018149,0.670391061452514,"increasing","Bartomeus","increasing",0.0063,0.0029
"416","Xylocopa virginica",8.52,5.6,-0.573882707772302,0.657276995305164,"increasing","Bartomeus","increasing",0.0063,0.0029
"417","Xylocopa virginica",7.53,5.2,-0.41993024328071,0.690571049136786,"increasing","Bartomeus","increasing",0.0063,0.0029
"418","Xylocopa virginica",8.4,5.5,-0.565711770034512,0.654761904761905,"increasing","Bartomeus","increasing",0.0063,0.0029
"419","Xylocopa virginica",7.9,5.3,-0.489446034607477,0.670886075949367,"increasing","Bartomeus","increasing",0.0063,0.0029
