Species,Brain.weight,IT,log_brain_weight,log_it,residuals
Hylaeus modestus,0.31,2.08,-1.171182981502945,0.7323678937132266,-0.8393957544645838
Lasioglossum calceatum,0.6563333333333333,1.8916666666666666,-0.4210864890111212,0.6374582746993567,0.08915238158997874
Lasioglossum coriaceum,0.742,1.905,-0.2984060358147566,0.6444820085786643,0.19862661957093328
Lasioglossum dialictus,0.31,1.89,-1.171182981502945,0.636576829071551,-0.6592867928910108
Lasioglossum fulvicorne,0.3,1.26,-1.2039728043259361,0.23111172096338664,0.07028989361390363
Lasioglossum immunitum,0.494125,1.7731875,-0.7049667573652875,0.5727787744617036,-0.07311573362153302
Lasioglossum leucozonium,0.48000000000000004,2.216666666666667,-0.7339691750802003,0.7960045659996531,-0.5218333477457681
Lasioglossum malachurum,0.4247777777777778,1.4346666666666668,-0.8561891226219436,0.36093253419137367,0.1739809561514442
Lasioglossum punctatissimum,0.29775,1.5625,-1.2115010707467275,0.44628710262841953,-0.3418169699114996
Lasioglossum quebecensis,0.36333333333333334,1.2911666666666666,-1.0124345924270572,0.2555462024217104,0.21588572979632412
Lasioglossum sexnotatum,0.8176666666666667,2.56,-0.20130052339175747,0.9400072584914712,-0.2599224698175295
Lasioglossum sexstrigatum,0.231,1.26,-1.4653375684603434,0.23111172096338664,-0.1910748705205036
Lasioglossum zonulum,0.657,2.285,-0.4200712604975265,0.8263660243461681,-0.2650218718106402
Megachile apicalis,0.9045,2.25425,-0.10037297414678727,0.8128173233978789,0.08015105006686178
Megachile campanulae,0.822,2.286,-0.1960148839259572,0.8268035653726189,-0.04178817176129834
Megachile centuncularis,1.3815,3.329875,0.32316986538133413,1.2029347657502638,-0.22981552171243436
Megachile gemula,1.4075,2.95275,0.3418150810317084,1.0827369395098196,0.014828911595121093
Megachile inimica,1.88,2.9845,0.6312717768418578,1.0934322286265676,0.28417603430727467
Megachile mendica,1.803,2.8575,0.5894519442211802,1.0499471166868286,0.3241180902789648
Megachile pugnata,3,6.43,1.0986122886681098,1.860974538249528,-0.691637352062411
Megachile rotundata,1.391,3.1667,0.33002291294130587,1.1526900361987737,-0.1284909689247534
Megachile sculpturalis,3.854,4.7625,1.3491115699921747,1.5607727404528193,0.12330950342674184
Megachile texana,2.351,3.1115,0.8548407695579324,1.1351049250271354,0.42939089135575614
Megachile willughbiella,1.966,3.694,0.6760010217249748,1.3067098817770482,-0.07210515721590091
Melissodes bimaculata,1.8415,2.5717499999999998,0.6105804569029829,0.9445866010290023,0.5433483062560795
Nomada agrestis,2.141,2.705,0.7612730096075457,0.9951019122984449,0.5990605986374185
Nomada cressonii,1.76,3.34,0.5653138090500605,1.205970806988609,0.006619974756353464
Nomada discrepans,0.25,1.236,-1.3862943611198906,0.211880359035499,-0.075872334129537
Nomada luteoloides,1.7,3.53,0.5306282510621704,1.2612978709452054,-0.13209303165183345
Nomada merceti,0.6966666666666667,1.433,-0.3614482226913901,0.3597701488460348,0.6709074045804976
Nomada succincta,1.34,2.057,0.29266961396282004,0.7212486106708201,0.6453636189945346
Osmia atriventris,0.447,2.032,-0.8051966843685682,0.7090205297162355,-0.4295111093923471
