"","Species","Brain.weight","IT","residuals","Habitat","Preference"
"229","Andrena_wilkella",1.01025,2.286,0.164472977124401,"Agricultural",0
"230","Anthidium_manicatum",2.3458,3.6718,0.115770251284145,"Agricultural",0
"231","Anthidium_oblongatum",1.75257142857143,3.07185714285714,0.15970960329648,"Agricultural",0
"232","Anthophora_bimaculata",1.48,2.82,0.151536307782016,"Agricultural",0
"233","Anthophora_plumipes",3.752,3.993,0.427731980440801,"Agricultural",0
"234","Anthophora_quadrimaculata",2.2225,3.86,-0.0322209988638852,"Agricultural",0
"235","Bombus_hypnorum",2.29,3.37,0.252985209656174,"Agricultural",0
"236","Bombus_jonellus",2.3005,4.0175,-0.0729335994142793,"Agricultural",0
"237","Bombus_lucorum",2.4,4.861,-0.388986443173959,"Agricultural",0
"238","Bombus_muscorum",2.18222222222222,3.81166666666667,-0.026814369867663,"Agricultural",0.9921
"239","Bombus_pascuorum",2.40409090909091,3.69790909090909,0.126991177121428,"Agricultural",0
"240","Bombus_pratorum",2.02641666666667,3.58775,0.012959196258651,"Agricultural",0
"241","Bombus_terrestris",3.05281132075472,4.22879245283019,0.113614345120543,"Agricultural",0
"242","Dasypoda_hirtipes",0.47,2.957,-1.08473649191564,"Agricultural",0
"243","Halictus_confusus",0.4184,1.7855,-0.252359556952746,"Agricultural",0.0083
"244","Halictus_quadricinctus",1.55,2.895,0.148389196177248,"Agricultural",0.0126
"245","Halictus_rubicundus",0.83875,2.313875,-0.0443592557462495,"Agricultural",0
"246","Lasioglossum_calceatum",0.656333333333333,1.89166666666667,0.0892536770143502,"Agricultural",0
"247","Lasioglossum_fulvicorne",0.3,1.26,0.0705046200417651,"Agricultural",0
"248","Lasioglossum_leucozonium",0.48,2.21666666666667,-0.521776310270077,"Agricultural",0
"249","Lasioglossum_malachurum",0.424777777777778,1.43466666666667,0.174159443302799,"Agricultural",0
"250","Lasioglossum_punctatissimum",0.29775,1.5625,-0.341662309354123,"Agricultural",0
"251","Lasioglossum_sexnotatum",0.817666666666667,2.56,-0.25990563046771,"Agricultural",0
"252","Lasioglossum_sexstrigatum",0.231,1.26,-0.190860144092642,"Agricultural",0
"253","Lasioglossum_zonulum",0.657,2.285,-0.264973309688452,"Agricultural",0
