Species,Brain.weight,IT,log_brain_weight,log_it,residuals,Habitat,Preference
Megachile_centuncularis,1.3815,3.329875,0.32316986538133413,1.2029347657502638,-0.22981552171243436,Natural,0
Megachile_rotundata,1.391,3.1667,0.33002291294130587,1.1526900361987737,-0.1284909689247534,Natural,1e-4
Megachile_willughbiella,1.966,3.694,0.6760010217249748,1.3067098817770482,-0.07210515721590091,Natural,0.9222
Nomada_succincta,1.34,2.057,0.29266961396282004,0.7212486106708201,0.6453636189945346,Natural,1
Osmia_caerulescens,0.704421052631579,2.139894736842105,-0.35037901548191763,0.7607566394324319,-0.07196907922729129,Natural,0
Osmia_cornuta,1.7993932584269663,3.410741573033708,0.5874495294266552,1.226929737750093,-0.010651855761949684,Natural,0
Osmia_leaiana,1.1025,2.7655,0.09758032833886404,1.0172214504525956,-0.106221839069755,Natural,0
Panurgus_banksianus,1.63,2.379,0.4885800148186709,0.8666802313208206,0.5678295365552557,Natural,1
Panurgus_calcaratus,0.53,1.646375,-0.6348782724359695,0.49857590133707347,0.13649100882215232,Natural,1
Stelis_breviuscula,0.4433333333333333,1.9656666666666667,-0.8134333464344473,0.6758314583502574,-0.3753447780091186,Natural,0.1075
Xylocopa_violacea,6.777666666666667,5.911111111111111,1.913632893260095,1.7768338190113793,0.2815869182339356,Natural,0
Andrena_angustior,0.4063333333333333,1.7973333333333332,-0.9005814381689753,0.5863040849418961,-0.29416107055854673,Urban,0
Andrena_barbilabris,0.983,2.28,-0.017146158834970514,0.8241754429663494,0.14202202046184825,Urban,2e-4
Andrena_bicolor,0.7025,2.205,-0.3531098777742362,0.7907275088988094,-0.13105198434571966,Urban,0.0049
Andrena_carantonica,1.8105,2.775,0.5936030502235589,1.0206507471983979,0.38335302592844933,Urban,1e-4
Andrena_chrysosceles,0.831,1.8525,-0.18512548412668892,0.616536078188105,0.36445186863426293,Urban,0
Andrena_cineraria,1.6334,2.7239999999999998,0.4906637319420382,1.0021013882872658,0.3152907161010761,Urban,0
Andrena_dorsata,0.7176,2.262,-0.33184296823755066,0.8162493776939287,-0.15777198573126675,Urban,0
Andrena_flavipes,1.1796666666666666,2.572111111111111,0.16523191269521662,0.9447270057187496,0.09773576933704065,Urban,0
Andrena_fucata,0.7010000000000001,2.66,-0.35524739194754684,0.9783261227936078,-0.4859175078341459,Urban,0
Andrena_fulva,1.5913333333333333,2.76,0.46457223924852864,1.0152306797290584,0.2645131730267331,Urban,1
Andrena_gravida,1.59425,2.635,0.46640340621324394,0.9688831819933256,0.35348816410429373,Urban,6e-4
Andrena_haemorrhoa,1.1656,2.436,0.153235975898858,0.8903573498476506,0.18796713627393408,Urban,0
Andrena_labiata,0.5800000000000001,2.2333333333333334,-0.5447271754416719,0.8034952377288107,-0.3466755125506959,Urban,0.0122
Andrena_nigroaenea,1.7126666666666666,3.5733333333333333,0.5380516100195821,1.2734988669745462,-0.14761031682681594,Urban,0.1689
Andrena_nitida,1.9736,2.808,0.67985928623301,1.0324724861635646,0.447381707238778,Urban,0
Andrena_ovatula,0.7463333333333333,2.6933333333333334,-0.29258295105149196,0.9907795838648943,-0.4466684026996948,Urban,0
Andrena_pilipes,1.4571428571428573,2.9064285714285716,0.3764775712349122,1.0669250323983401,0.07922137902531727,Urban,0.3901
Andrena_semilaevis,0.277,1.575,-1.2837377727947985,0.4542552722775964,-0.42903564096183305,Urban,0
Andrena_subopaca,0.3433333333333333,1.8466666666666667,-1.0690534864265653,0.6133822120910828,-0.5135461489660841,Urban,0
Andrena_tibialis,1.6475,3.27,0.49925898739452523,1.184789984909162,-0.01961008992133653,Urban,0.9999
Andrena_wilkella,1.0102499999999999,2.286,0.010197824976445877,0.8268035653726189,0.16442453714110475,Urban,0
Anthidium_manicatum,2.3458,3.6718,0.8526264951052677,1.3006820050439682,0.11585409372443574,Urban,1
Anthidium_oblongatum,1.7525714285714287,3.071857142857143,0.5610840971966918,1.1222823112279383,0.15974364574189912,Urban,0.988
Anthophora_bimaculata,1.48,2.82,0.3920420877760237,1.0367368849500223,0.15154647035579075,Urban,0
Anthophora_plumipes,3.752,3.9930000000000003,1.3222890311439781,1.3845428280810843,0.4278392324983825,Urban,1
Anthophora_quadrimaculata,2.2225,3.8600000000000003,0.7986326884059226,1.3506671834767396,-0.03212320313939165,Urban,1
Anthophora_retusa,2.096,3.923,0.7400307664587957,1.3668566672274156,-0.12116503216609681,Urban,0
Bombus_hypnorum,2.29,3.37,0.8285518175661483,1.2149127443642704,0.25304510974179667,Urban,1
Bombus_jonellus,2.3005,4.0175,0.8331264906133863,1.3906598186295307,-0.07282463980837492,Urban,0
Bombus_lucorum,2.4,4.861,0.8754687373538999,1.5812441780633184,-0.3888242822428771,Urban,0
Bombus_muscorum,2.1822222222222223,3.8116666666666665,0.7803437255901005,1.3380665388066348,-0.026720091593376395,Urban,0
Bombus_pascuorum,2.4040909090909093,3.697909090909091,0.8771718317195728,1.3077675493499112,0.12707699748030374,Urban,0
Bombus_pratorum,2.0264166666666665,3.5877499999999998,0.7062690444379218,1.2775252650689042,0.01303657453127754,Urban,0
